"Station_Id","veg_year","Marsh_Class","Basin",
"CRMS0135-V23","2006","Brackish","Breton Sound",
"CRMS0135-V26","2006","Fresh","Breton Sound",
"CRMS0135-V31","2006","Fresh","Breton Sound",
"CRMS0135-V34","2006","Saline","Breton Sound",
"CRMS0135-V64","2006","Saline","Breton Sound",
"CRMS0135-V83","2006","Intermediate","Breton Sound",
"CRMS0136-V06","2006","Brackish","Breton Sound",
"CRMS0136-V19","2006","Brackish","Breton Sound",
"CRMS0136-V25","2006","Brackish","Breton Sound",
"CRMS0136-V37","2006","Brackish","Breton Sound",
"CRMS0136-V50","2006","Brackish","Breton Sound",
"CRMS0136-V54","2006","Brackish","Breton Sound",
"CRMS0136-V55","2006","Brackish","Breton Sound",
"CRMS0136-V57","2006","Saline","Breton Sound",
"CRMS0136-V58","2006","Brackish","Breton Sound",
"CRMS0136-V63","2006","Brackish","Breton Sound",
"CRMS0147-V04","2006","Saline","Breton Sound",
"CRMS0147-V06","2006","Saline","Breton Sound",
"CRMS0147-V09","2006","Saline","Breton Sound",
"CRMS0147-V11","2006","Saline","Breton Sound",
"CRMS0147-V14","2006","Saline","Breton Sound",
"CRMS0147-V15","2006","Saline","Breton Sound",
"CRMS0147-V21","2006","Saline","Breton Sound",
"CRMS0147-V26","2006","Saline","Breton Sound",
"CRMS0147-V29","2006","Saline","Breton Sound",
"CRMS0147-V30","2006","Saline","Breton Sound",
"CRMS0148-V07","2006","Saline","Breton Sound",
"CRMS0148-V09","2006","Brackish","Breton Sound",
"CRMS0148-V16","2006","Brackish","Breton Sound",
"CRMS0148-V24","2006","Brackish","Breton Sound",
"CRMS0148-V36","2006","Saline","Breton Sound",
"CRMS0148-V38","2006","Saline","Breton Sound",
"CRMS0148-V70","2006","Saline","Breton Sound",
"CRMS0148-V76","2006","Saline","Breton Sound",
"CRMS0148-V80","2006","Brackish","Breton Sound",
"CRMS0148-V82","2006","Brackish","Breton Sound",
"CRMS0153-V35","2006","Intermediate","Mississippi River",
"CRMS0153-V38","2006","Intermediate","Mississippi River",
"CRMS0153-V41","2006","Intermediate","Mississippi River",
"CRMS0153-V51","2006","Intermediate","Mississippi River",
"CRMS0153-V53","2006","Intermediate","Mississippi River",
"CRMS0153-V56","2006","Intermediate","Mississippi River",
"CRMS0153-V57","2006","Intermediate","Mississippi River",
"CRMS0153-V67","2006","Intermediate","Mississippi River",
"CRMS0153-V69","2006","Intermediate","Mississippi River",
"CRMS0153-V85","2006","Intermediate","Mississippi River",
"CRMS0154-V07","2006","Intermediate","Mississippi River",
"CRMS0154-V12","2006","Intermediate","Mississippi River",
"CRMS0154-V26","2006","Intermediate","Mississippi River",
"CRMS0154-V27","2006","Intermediate","Mississippi River",
"CRMS0154-V48","2006","Intermediate","Mississippi River",
"CRMS0154-V50","2006","Intermediate","Mississippi River",
"CRMS0154-V53","2006","Intermediate","Mississippi River",
"CRMS0154-V56","2006","Intermediate","Mississippi River",
"CRMS0154-V63","2006","Fresh","Mississippi River",
"CRMS0154-V69","2006","Intermediate","Mississippi River",
"CRMS0162-V21","2006","Intermediate","Mississippi River",
"CRMS0162-V22","2006","Intermediate","Mississippi River",
"CRMS0162-V25","2006","Intermediate","Mississippi River",
"CRMS0162-V27","2006","Intermediate","Mississippi River",
"CRMS0162-V31","2006","Intermediate","Mississippi River",
"CRMS0162-V38","2006","Intermediate","Mississippi River",
"CRMS0162-V39","2006","Intermediate","Mississippi River",
"CRMS0162-V64","2006","Intermediate","Mississippi River",
"CRMS0162-V76","2006","Intermediate","Mississippi River",
"CRMS0162-V82","2006","Intermediate","Mississippi River",
"CRMS0164-V03","2006","Saline","Barataria",
"CRMS0164-V16","2006","Saline","Barataria",
"CRMS0164-V18","2006","Saline","Barataria",
"CRMS0164-V19","2006","Saline","Barataria",
"CRMS0164-V36","2006","Saline","Barataria",
"CRMS0164-V37","2006","Saline","Barataria",
"CRMS0164-V46","2006","Saline","Barataria",
"CRMS0164-V49","2006","Saline","Barataria",
"CRMS0164-V62","2006","Saline","Barataria",
"CRMS0164-V64","2006","Saline","Barataria",
"CRMS0171-V13","2006","Saline","Barataria",
"CRMS0171-V18","2006","Saline","Barataria",
"CRMS0171-V30","2006","Saline","Barataria",
"CRMS0171-V31","2006","Saline","Barataria",
"CRMS0171-V38","2006","Saline","Barataria",
"CRMS0171-V40","2006","Saline","Barataria",
"CRMS0171-V41","2006","Saline","Barataria",
"CRMS0171-V47","2006","Saline","Barataria",
"CRMS0171-V52","2006","Saline","Barataria",
"CRMS0171-V58","2006","Saline","Barataria",
"CRMS0172-V06","2006","Saline","Barataria",
"CRMS0172-V30","2006","Saline","Barataria",
"CRMS0172-V35","2006","Saline","Barataria",
"CRMS0172-V52","2006","Saline","Barataria",
"CRMS0172-V54","2006","Saline","Barataria",
"CRMS0172-V57","2006","Saline","Barataria",
"CRMS0172-V59","2006","Saline","Barataria",
"CRMS0172-V61","2006","Saline","Barataria",
"CRMS0172-V62","2006","Saline","Barataria",
"CRMS0172-V71","2006","Saline","Barataria",
"CRMS0173-V04","2006","Saline","Barataria",
"CRMS0173-V21","2006","Saline","Barataria",
"CRMS0173-V23","2006","Saline","Barataria",
"CRMS0173-V28","2006","Saline","Barataria",
"CRMS0173-V29","2006","Saline","Barataria",
"CRMS0173-V35","2006","Saline","Barataria",
"CRMS0173-V40","2006","Saline","Barataria",
"CRMS0173-V51","2006","Saline","Barataria",
"CRMS0173-V52","2006","Saline","Barataria",
"CRMS0173-V53","2006","Saline","Barataria",
"CRMS0174-V28","2006","Saline","Barataria",
"CRMS0174-V30","2006","Saline","Barataria",
"CRMS0174-V37","2006","Saline","Barataria",
"CRMS0174-V48","2006","Saline","Barataria",
"CRMS0174-V64","2006","Saline","Barataria",
"CRMS0174-V65","2006","Saline","Barataria",
"CRMS0174-V69","2006","Saline","Barataria",
"CRMS0174-V76","2006","Saline","Barataria",
"CRMS0174-V81","2006","Saline","Barataria",
"CRMS0174-V85","2006","Saline","Barataria",
"CRMS0175-V28","2006","Saline","Barataria",
"CRMS0175-V29","2006","Saline","Barataria",
"CRMS0175-V35","2006","Saline","Barataria",
"CRMS0175-V36","2006","Saline","Barataria",
"CRMS0175-V39","2006","Saline","Barataria",
"CRMS0175-V49","2006","Saline","Barataria",
"CRMS0175-V54","2006","Saline","Barataria",
"CRMS0175-V74","2006","Saline","Barataria",
"CRMS0175-V81","2006","Saline","Barataria",
"CRMS0175-V84","2006","Saline","Barataria",
"CRMS0176-V01","2006","Saline","Barataria",
"CRMS0176-V02","2006","Saline","Barataria",
"CRMS0176-V11","2006","Saline","Barataria",
"CRMS0176-V15","2006","Saline","Barataria",
"CRMS0176-V16","2006","Saline","Barataria",
"CRMS0176-V19","2006","Saline","Barataria",
"CRMS0176-V24","2006","Saline","Barataria",
"CRMS0176-V32","2006","Saline","Barataria",
"CRMS0176-V36","2006","Saline","Barataria",
"CRMS0176-V49","2006","Saline","Barataria",
"CRMS0178-V27","2006","Brackish","Barataria",
"CRMS0178-V38","2006","Saline","Barataria",
"CRMS0178-V48","2006","Saline","Barataria",
"CRMS0178-V49","2006","Saline","Barataria",
"CRMS0178-V51","2006","Saline","Barataria",
"CRMS0178-V53","2006","Saline","Barataria",
"CRMS0178-V56","2006","Saline","Barataria",
"CRMS0178-V69","2006","Saline","Barataria",
"CRMS0178-V73","2006","Brackish","Barataria",
"CRMS0178-V80","2006","Saline","Barataria",
"CRMS0179-V05","2006","Saline","Barataria",
"CRMS0179-V08","2006","Saline","Barataria",
"CRMS0179-V23","2006","Saline","Barataria",
"CRMS0179-V25","2006","Saline","Barataria",
"CRMS0179-V26","2006","Saline","Barataria",
"CRMS0179-V32","2006","Saline","Barataria",
"CRMS0179-V52","2006","Saline","Barataria",
"CRMS0179-V74","2006","Saline","Barataria",
"CRMS0179-V75","2006","Saline","Barataria",
"CRMS0179-V82","2006","Saline","Barataria",
"CRMS0181-V01","2006","Saline","Barataria",
"CRMS0181-V15","2006","Saline","Barataria",
"CRMS0181-V22","2006","Saline","Barataria",
"CRMS0181-V25","2006","Saline","Barataria",
"CRMS0181-V29","2006","Saline","Barataria",
"CRMS0181-V31","2006","Saline","Barataria",
"CRMS0181-V33","2006","Saline","Barataria",
"CRMS0181-V38","2006","Saline","Barataria",
"CRMS0181-V73","2006","Saline","Barataria",
"CRMS0181-V75","2006","Saline","Barataria",
"CRMS0184-F01VC","2006","Swamp","Barataria",
"CRMS0184-F01VNW","2006","Swamp","Barataria",
"CRMS0184-F01VSE","2006","Swamp","Barataria",
"CRMS0184-F02VC","2006","Swamp","Barataria",
"CRMS0184-F02VNW","2006","Swamp","Barataria",
"CRMS0184-F02VSE","2006","Swamp","Barataria",
"CRMS0184-F03VC","2006","Swamp","Barataria",
"CRMS0184-F03VNW","2006","Swamp","Barataria",
"CRMS0184-F03VSE","2006","Swamp","Barataria",
"CRMS0184-V10","2006","Swamp","",
"CRMS0188-V20","2006","Intermediate","Barataria",
"CRMS0188-V23","2006","Fresh","Barataria",
"CRMS0188-V24","2006","Intermediate","Barataria",
"CRMS0188-V30","2006","Intermediate","Barataria",
"CRMS0188-V36","2006","Intermediate","Barataria",
"CRMS0188-V38","2006","Fresh","Barataria",
"CRMS0188-V49","2006","Intermediate","Barataria",
"CRMS0188-V54","2006","Fresh","Barataria",
"CRMS0188-V67","2006","Fresh","Barataria",
"CRMS0188-V85","2006","Intermediate","Barataria",
"CRMS0190-V05","2006","Intermediate","Barataria",
"CRMS0190-V16","2006","Intermediate","Barataria",
"CRMS0190-V17","2006","Intermediate","Barataria",
"CRMS0190-V27","2006","Intermediate","Barataria",
"CRMS0190-V29","2006","Intermediate","Barataria",
"CRMS0190-V37","2006","Intermediate","Barataria",
"CRMS0190-V40","2006","Intermediate","Barataria",
"CRMS0190-V61","2006","Intermediate","Barataria",
"CRMS0190-V66","2006","Intermediate","Barataria",
"CRMS0190-V75","2006","Intermediate","Barataria",
"CRMS0192-V03","2006","Fresh","Barataria",
"CRMS0192-V08","2006","Fresh","Barataria",
"CRMS0192-V19","2006","Fresh","Barataria",
"CRMS0192-V26","2006","Fresh","Barataria",
"CRMS0192-V34","2006","Fresh","Barataria",
"CRMS0192-V60","2006","Fresh","Barataria",
"CRMS0192-V62","2006","Fresh","Barataria",
"CRMS0192-V73","2006","Fresh","Barataria",
"CRMS0192-V78","2006","Fresh","Barataria",
"CRMS0192-V84","2006","Fresh","Barataria",
"CRMS0209-V24","2006","Brackish","Barataria",
"CRMS0209-V26","2006","Brackish","Barataria",
"CRMS0209-V51","2006","Brackish","Barataria",
"CRMS0209-V58","2006","Saline","Barataria",
"CRMS0209-V59","2006","Saline","Barataria",
"CRMS0209-V62","2006","Saline","Barataria",
"CRMS0209-V64","2006","Saline","Barataria",
"CRMS0209-V74","2006","Saline","Barataria",
"CRMS0209-V77","2006","Saline","Barataria",
"CRMS0209-V79","2006","Saline","Barataria",
"CRMS0211-V04","2006","Fresh","Barataria",
"CRMS0211-V16","2006","Fresh","Barataria",
"CRMS0211-V17","2006","Fresh","Barataria",
"CRMS0211-V18","2006","Fresh","Barataria",
"CRMS0211-V22","2006","Fresh","Barataria",
"CRMS0211-V49","2006","Fresh","Barataria",
"CRMS0211-V50","2006","Fresh","Barataria",
"CRMS0211-V59","2006","Fresh","Barataria",
"CRMS0211-V70","2006","Fresh","Barataria",
"CRMS0211-V82","2006","Fresh","Barataria",
"CRMS0219-V04","2006","Fresh","Barataria",
"CRMS0219-V13","2006","Fresh","Barataria",
"CRMS0219-V16","2006","Intermediate","Barataria",
"CRMS0219-V23","2006","Fresh","Barataria",
"CRMS0219-V26","2006","Fresh","Barataria",
"CRMS0219-V30","2006","Fresh","Barataria",
"CRMS0219-V34","2006","Fresh","Barataria",
"CRMS0219-V38","2006","Fresh","Barataria",
"CRMS0219-V66","2006","Fresh","Barataria",
"CRMS0219-V72","2006","Fresh","Barataria",
"CRMS0220-V52","2006","Intermediate","Barataria",
"CRMS0220-V53","2006","Intermediate","Barataria",
"CRMS0220-V55","2006","Brackish","Barataria",
"CRMS0220-V59","2006","Brackish","Barataria",
"CRMS0220-V68","2006","Brackish","Barataria",
"CRMS0220-V75","2006","Brackish","Barataria",
"CRMS0220-V76","2006","Brackish","Barataria",
"CRMS0220-V77","2006","Brackish","Barataria",
"CRMS0220-V80","2006","Intermediate","Barataria",
"CRMS0220-V83","2006","Intermediate","Barataria",
"CRMS0224-V17","2006","Saline","Barataria",
"CRMS0224-V25","2006","Saline","Barataria",
"CRMS0224-V29","2006","Saline","Barataria",
"CRMS0224-V31","2006","Saline","Barataria",
"CRMS0224-V54","2006","Saline","Barataria",
"CRMS0224-V63","2006","Saline","Barataria",
"CRMS0224-V66","2006","Saline","Barataria",
"CRMS0224-V67","2006","Saline","Barataria",
"CRMS0224-V72","2006","Saline","Barataria",
"CRMS0224-V84","2006","Saline","Barataria",
"CRMS0225-V23","2006","Intermediate","Barataria",
"CRMS0225-V25","2006","Intermediate","Barataria",
"CRMS0225-V28","2006","Intermediate","Barataria",
"CRMS0225-V29","2006","Intermediate","Barataria",
"CRMS0225-V37","2006","Intermediate","Barataria",
"CRMS0225-V38","2006","Intermediate","Barataria",
"CRMS0225-V56","2006","Intermediate","Barataria",
"CRMS0225-V60","2006","Brackish","Barataria",
"CRMS0225-V73","2006","Brackish","Barataria",
"CRMS0225-V74","2006","Brackish","Barataria",
"CRMS0226-V10","2006","Saline","Barataria",
"CRMS0226-V11","2006","Saline","Barataria",
"CRMS0226-V53","2006","Saline","Barataria",
"CRMS0226-V59","2006","Saline","Barataria",
"CRMS0226-V69","2006","Saline","Barataria",
"CRMS0226-V70","2006","Saline","Barataria",
"CRMS0226-V72","2006","Saline","Barataria",
"CRMS0226-V75","2006","Saline","Barataria",
"CRMS0226-V82","2006","Saline","Barataria",
"CRMS0226-V84","2006","Saline","Barataria",
"CRMS0232-V02","2006","Saline","Barataria",
"CRMS0232-V04","2006","Saline","Barataria",
"CRMS0232-V14","2006","Saline","Barataria",
"CRMS0232-V15","2006","Saline","Barataria",
"CRMS0232-V18","2006","Saline","Barataria",
"CRMS0232-V54","2006","Brackish","Barataria",
"CRMS0232-V58","2006","Saline","Barataria",
"CRMS0232-V60","2006","Saline","Barataria",
"CRMS0232-V63","2006","Saline","Barataria",
"CRMS0232-V79","2006","Saline","Barataria",
"CRMS0237-V03","2006","Saline","Barataria",
"CRMS0237-V15","2006","Saline","Barataria",
"CRMS0237-V30","2006","Saline","Barataria",
"CRMS0237-V36","2006","Saline","Barataria",
"CRMS0237-V54","2006","Saline","Barataria",
"CRMS0237-V55","2006","Saline","Barataria",
"CRMS0237-V68","2006","Saline","Barataria",
"CRMS0237-V70","2006","Saline","Barataria",
"CRMS0237-V74","2006","Saline","Barataria",
"CRMS0237-V84","2006","Saline","Barataria",
"CRMS0251-V03","2006","Saline","Barataria",
"CRMS0251-V11","2006","Brackish","Barataria",
"CRMS0251-V12","2006","Saline","Barataria",
"CRMS0251-V38","2006","Brackish","Barataria",
"CRMS0251-V39","2006","Brackish","Barataria",
"CRMS0251-V46","2006","Brackish","Barataria",
"CRMS0251-V58","2006","Brackish","Barataria",
"CRMS0251-V63","2006","Brackish","Barataria",
"CRMS0251-V67","2006","Saline","Barataria",
"CRMS0251-V72","2006","Brackish","Barataria",
"CRMS0253-V11","2006","Brackish","Barataria",
"CRMS0253-V13","2006","Brackish","Barataria",
"CRMS0253-V22","2006","Brackish","Barataria",
"CRMS0253-V28","2006","Saline","Barataria",
"CRMS0253-V31","2006","Brackish","Barataria",
"CRMS0253-V34","2006","Brackish","Barataria",
"CRMS0253-V37","2006","Brackish","Barataria",
"CRMS0253-V51","2006","Brackish","Barataria",
"CRMS0253-V54","2006","Saline","Barataria",
"CRMS0253-V55","2006","Saline","Barataria",
"CRMS0268-V04","2006","Fresh","Barataria",
"CRMS0268-V08","2006","Fresh","Barataria",
"CRMS0268-V12","2006","Fresh","Barataria",
"CRMS0268-V13","2006","Fresh","Barataria",
"CRMS0268-V57","2006","Fresh","Barataria",
"CRMS0268-V60","2006","Fresh","Barataria",
"CRMS0268-V63","2006","Fresh","Barataria",
"CRMS0268-V67","2006","Fresh","Barataria",
"CRMS0268-V70","2006","Fresh","Barataria",
"CRMS0268-V73","2006","Fresh","Barataria",
"CRMS0273-V01","2006","Fresh","Barataria",
"CRMS0273-V29","2006","Fresh","Barataria",
"CRMS0273-V31","2006","Fresh","Barataria",
"CRMS0273-V34","2006","Fresh","Barataria",
"CRMS0273-V37","2006","Fresh","Barataria",
"CRMS0273-V39","2006","Fresh","Barataria",
"CRMS0273-V47","2006","Fresh","Barataria",
"CRMS0273-V49","2006","Fresh","Barataria",
"CRMS0273-V63","2006","Fresh","Barataria",
"CRMS0273-V79","2006","Fresh","Barataria",
"CRMS0276-V12","2006","Saline","Barataria",
"CRMS0276-V24","2006","Saline","Barataria",
"CRMS0276-V29","2006","Brackish","Barataria",
"CRMS0276-V31","2006","Intermediate","Barataria",
"CRMS0276-V48","2006","Saline","Barataria",
"CRMS0276-V50","2006","Saline","Barataria",
"CRMS0276-V56","2006","Brackish","Barataria",
"CRMS0276-V57","2006","Saline","Barataria",
"CRMS0276-V60","2006","Brackish","Barataria",
"CRMS0276-V68","2006","Brackish","Barataria",
"CRMS0278-V19","2006","Fresh","Barataria",
"CRMS0278-V27","2006","Fresh","Barataria",
"CRMS0278-V29","2006","Fresh","Barataria",
"CRMS0278-V32","2006","Fresh","Barataria",
"CRMS0278-V38","2006","Fresh","Barataria",
"CRMS0278-V49","2006","Fresh","Barataria",
"CRMS0278-V52","2006","Fresh","Barataria",
"CRMS0278-V68","2006","Fresh","Barataria",
"CRMS0278-V72","2006","Fresh","Barataria",
"CRMS0278-V76","2006","Intermediate","Barataria",
"CRMS0292-V01","2006","Saline","Terrebonne",
"CRMS0292-V02","2006","Saline","Terrebonne",
"CRMS0292-V06","2006","Saline","Terrebonne",
"CRMS0292-V17","2006","Saline","Terrebonne",
"CRMS0292-V26","2006","Saline","Terrebonne",
"CRMS0292-V27","2006","Saline","Terrebonne",
"CRMS0292-V52","2006","Saline","Terrebonne",
"CRMS0292-V62","2006","Saline","Terrebonne",
"CRMS0292-V64","2006","Saline","Terrebonne",
"CRMS0292-V71","2006","Saline","Terrebonne",
"CRMS0293-V11","2006","Brackish","Terrebonne",
"CRMS0293-V14","2006","Brackish","Terrebonne",
"CRMS0293-V29","2006","Brackish","Terrebonne",
"CRMS0293-V32","2006","Brackish","Terrebonne",
"CRMS0293-V34","2006","Brackish","Terrebonne",
"CRMS0293-V66","2006","Brackish","Terrebonne",
"CRMS0293-V75","2006","Brackish","Terrebonne",
"CRMS0293-V76","2006","Brackish","Terrebonne",
"CRMS0293-V81","2006","Brackish","Terrebonne",
"CRMS0293-V82","2006","Brackish","Terrebonne",
"CRMS0294-V31","2006","Fresh","Terrebonne",
"CRMS0294-V34","2006","Fresh","Terrebonne",
"CRMS0294-V35","2006","Fresh","Terrebonne",
"CRMS0294-V50","2006","Intermediate","Terrebonne",
"CRMS0294-V53","2006","Intermediate","Terrebonne",
"CRMS0294-V54","2006","Intermediate","Terrebonne",
"CRMS0294-V66","2006","Intermediate","Terrebonne",
"CRMS0294-V74","2006","Fresh","Terrebonne",
"CRMS0294-V75","2006","Fresh","Terrebonne",
"CRMS0294-V77","2006","Intermediate","Terrebonne",
"CRMS0296-V03","2006","Fresh","Terrebonne",
"CRMS0296-V04","2006","Fresh","Terrebonne",
"CRMS0296-V05","2006","Fresh","Terrebonne",
"CRMS0296-V07","2006","Fresh","Terrebonne",
"CRMS0296-V15","2006","Fresh","Terrebonne",
"CRMS0296-V19","2006","Fresh","Terrebonne",
"CRMS0296-V26","2006","Fresh","Terrebonne",
"CRMS0296-V47","2006","Fresh","Terrebonne",
"CRMS0296-V60","2006","Fresh","Terrebonne",
"CRMS0296-V65","2006","Fresh","Terrebonne",
"CRMS0302-V06","2006","Saline","Terrebonne",
"CRMS0302-V09","2006","Saline","Terrebonne",
"CRMS0302-V11","2006","Saline","Terrebonne",
"CRMS0302-V16","2006","Saline","Terrebonne",
"CRMS0302-V18","2006","Saline","Terrebonne",
"CRMS0302-V24","2006","Saline","Terrebonne",
"CRMS0302-V30","2006","Saline","Terrebonne",
"CRMS0302-V33","2006","Saline","Terrebonne",
"CRMS0302-V36","2006","Saline","Terrebonne",
"CRMS0302-V49","2006","Saline","Terrebonne",
"CRMS0303-V02","2006","Saline","Terrebonne",
"CRMS0303-V12","2006","Saline","Terrebonne",
"CRMS0303-V14","2006","Saline","Terrebonne",
"CRMS0303-V17","2006","Saline","Terrebonne",
"CRMS0303-V20","2006","Saline","Terrebonne",
"CRMS0303-V24","2006","Saline","Terrebonne",
"CRMS0303-V51","2006","Saline","Terrebonne",
"CRMS0303-V55","2006","Saline","Terrebonne",
"CRMS0303-V57","2006","Saline","Terrebonne",
"CRMS0303-V64","2006","Saline","Terrebonne",
"CRMS0305-V13","2006","Intermediate","Terrebonne",
"CRMS0305-V23","2006","Intermediate","Terrebonne",
"CRMS0305-V34","2006","Intermediate","Terrebonne",
"CRMS0305-V52","2006","Intermediate","Terrebonne",
"CRMS0305-V55","2006","Intermediate","Terrebonne",
"CRMS0305-V59","2006","Fresh","Terrebonne",
"CRMS0305-V69","2006","Intermediate","Terrebonne",
"CRMS0305-V71","2006","Intermediate","Terrebonne",
"CRMS0305-V72","2006","Intermediate","Terrebonne",
"CRMS0305-V84","2006","Intermediate","Terrebonne",
"CRMS0309-V06","2006","Intermediate","Terrebonne",
"CRMS0309-V07","2006","Brackish","Terrebonne",
"CRMS0309-V14","2006","Brackish","Terrebonne",
"CRMS0309-V25","2006","Brackish","Terrebonne",
"CRMS0309-V26","2006","Brackish","Terrebonne",
"CRMS0309-V31","2006","Brackish","Terrebonne",
"CRMS0309-V32","2006","Brackish","Terrebonne",
"CRMS0309-V39","2006","Brackish","Terrebonne",
"CRMS0309-V40","2006","Brackish","Terrebonne",
"CRMS0309-V80","2006","Brackish","Terrebonne",
"CRMS0310-V03","2006","Saline","Terrebonne",
"CRMS0310-V14","2006","Saline","Terrebonne",
"CRMS0310-V48","2006","Saline","Terrebonne",
"CRMS0310-V51","2006","Saline","Terrebonne",
"CRMS0310-V52","2006","Saline","Terrebonne",
"CRMS0310-V55","2006","Saline","Terrebonne",
"CRMS0310-V60","2006","Saline","Terrebonne",
"CRMS0310-V66","2006","Saline","Terrebonne",
"CRMS0310-V70","2006","Saline","Terrebonne",
"CRMS0310-V73","2006","Saline","Terrebonne",
"CRMS0311-V08","2006","Saline","Terrebonne",
"CRMS0311-V12","2006","Saline","Terrebonne",
"CRMS0311-V32","2006","Saline","Terrebonne",
"CRMS0311-V34","2006","Saline","Terrebonne",
"CRMS0311-V36","2006","Saline","Terrebonne",
"CRMS0311-V52","2006","Saline","Terrebonne",
"CRMS0311-V57","2006","Saline","Terrebonne",
"CRMS0311-V62","2006","Saline","Terrebonne",
"CRMS0311-V76","2006","Saline","Terrebonne",
"CRMS0312-V02","2006","Intermediate","Terrebonne",
"CRMS0312-V04","2006","Fresh","Terrebonne",
"CRMS0312-V16","2006","Fresh","Terrebonne",
"CRMS0312-V20","2006","Intermediate","Terrebonne",
"CRMS0312-V27","2006","Intermediate","Terrebonne",
"CRMS0312-V31","2006","Intermediate","Terrebonne",
"CRMS0312-V33","2006","Fresh","Terrebonne",
"CRMS0312-V38","2006","Fresh","Terrebonne",
"CRMS0312-V71","2006","Intermediate","Terrebonne",
"CRMS0312-V82","2006","Intermediate","Terrebonne",
"CRMS0315-V16","2006","Brackish","Terrebonne",
"CRMS0315-V24","2006","Brackish","Terrebonne",
"CRMS0315-V25","2006","Brackish","Terrebonne",
"CRMS0315-V51","2006","Saline","Terrebonne",
"CRMS0315-V57","2006","Brackish","Terrebonne",
"CRMS0315-V61","2006","Brackish","Terrebonne",
"CRMS0315-V67","2006","Saline","Terrebonne",
"CRMS0315-V74","2006","Saline","Terrebonne",
"CRMS0315-V75","2006","Brackish","Terrebonne",
"CRMS0315-V83","2006","Brackish","Terrebonne",
"CRMS0318-V02","2006","Saline","Terrebonne",
"CRMS0318-V18","2006","Saline","Terrebonne",
"CRMS0318-V24","2006","Saline","Terrebonne",
"CRMS0318-V29","2006","Saline","Terrebonne",
"CRMS0318-V31","2006","Saline","Terrebonne",
"CRMS0318-V41","2006","Saline","Terrebonne",
"CRMS0318-V58","2006","Saline","Terrebonne",
"CRMS0318-V60","2006","Saline","Terrebonne",
"CRMS0318-V62","2006","Saline","Terrebonne",
"CRMS0318-V65","2006","Saline","Terrebonne",
"CRMS0319-V15","2006","Saline","Terrebonne",
"CRMS0319-V19","2006","Saline","Terrebonne",
"CRMS0319-V51","2006","Saline","Terrebonne",
