"Site ID","Station_Type","Sample_Date","Sample Depth (cm)","Mean Bulk Density (g/cm3)","SE Bulk Density (g/cm3)",
"CRMS0039","S","7/29/2021 12:00:00 AM","24","0.3533333","0.0811035",
"CRMS0046","S","6/5/2008 12:00:00 AM","4","0.2833333","0.02403701",
"CRMS0046","S","6/5/2008 12:00:00 AM","8","0.7033333","0.01452967",
"CRMS0046","S","6/5/2008 12:00:00 AM","12","1.073333","0.06064466",
"CRMS0046","S","6/5/2008 12:00:00 AM","16","1.11","0.04932885",
"CRMS0046","S","6/5/2008 12:00:00 AM","20","1.186667","0.04176655",
"CRMS0046","S","6/5/2008 12:00:00 AM","24","1.14","0.03605552",
"CRMS0046","S","6/16/2014 12:00:00 AM","4","0.5666667","0.03382964",
"CRMS0046","S","6/16/2014 12:00:00 AM","8","0.8333333","0.06936218",
"CRMS0046","S","6/16/2014 12:00:00 AM","12","0.8533333","0.09837569",
"CRMS0046","S","6/16/2014 12:00:00 AM","16","1.07","0.06506409",
"CRMS0046","S","6/16/2014 12:00:00 AM","20","1.226667","0.09207484",
"CRMS0046","S","6/16/2014 12:00:00 AM","24","1.373333","0.03527669",
"CRMS0046","S","7/14/2021 12:00:00 AM","4","0.73","0.1442221",
"CRMS0046","S","7/14/2021 12:00:00 AM","8","0.86","0.08736894",
"CRMS0046","S","7/14/2021 12:00:00 AM","12","0.9933333","0.1166667",
"CRMS0046","S","7/14/2021 12:00:00 AM","16","0.9133333","0.07512952",
"CRMS0046","S","7/14/2021 12:00:00 AM","20","1.003333","0.1223837",
"CRMS0046","S","7/14/2021 12:00:00 AM","24","1.093333","0.09024657",
"CRMS0047","S","6/4/2008 12:00:00 AM","4","0.1","0.005773501",
"CRMS0047","S","6/4/2008 12:00:00 AM","8","0.1633333","0.01666667",
"CRMS0047","S","6/4/2008 12:00:00 AM","12","0.18","0.01527525",
"CRMS0047","S","6/4/2008 12:00:00 AM","16","0.22","0.02",
"CRMS0047","S","6/4/2008 12:00:00 AM","20","0.2133333","0.02848002",
"CRMS0047","S","6/4/2008 12:00:00 AM","24","0.24","0.05567764",
"CRMS0047","S","6/24/2014 12:00:00 AM","4","0.1","0.01",
"CRMS0047","S","6/24/2014 12:00:00 AM","8","0.15","0",
"CRMS0047","S","6/24/2014 12:00:00 AM","12","0.17","0.02",
"CRMS0047","S","6/24/2014 12:00:00 AM","16","0.17","0.005773506",
"CRMS0047","S","6/24/2014 12:00:00 AM","20","0.1633333","0.008819172",
"CRMS0047","S","6/24/2014 12:00:00 AM","24","0.1266667","0.003333333",
"CRMS0047","S","12/13/2021 12:00:00 AM","4","0.09333333","0.02403701",
"CRMS0047","S","12/13/2021 12:00:00 AM","8","0.1633333","0.03179797",
"CRMS0047","S","12/13/2021 12:00:00 AM","12","0.1933333","0.03844188",
"CRMS0047","S","12/13/2021 12:00:00 AM","16","0.2066667","0.03282953",
"CRMS0047","S","12/13/2021 12:00:00 AM","20","0.19","0.011547",
"CRMS0047","S","12/13/2021 12:00:00 AM","24","0.1833333","0.008819171",
"CRMS0056","S","6/5/2008 12:00:00 AM","4","0.15","0.02645751",
"CRMS0056","S","6/5/2008 12:00:00 AM","8","0.33","0.1250333",
"CRMS0056","S","6/5/2008 12:00:00 AM","12","0.5333333","0.2021825",
"CRMS0056","S","6/5/2008 12:00:00 AM","16","0.6333333","0.04096068",
"CRMS0056","S","6/5/2008 12:00:00 AM","20","1.003333","0.07310571",
"CRMS0056","S","6/5/2008 12:00:00 AM","24","1","0.124231",
"CRMS0056","S","5/21/2014 12:00:00 AM","4","0.18","0.03511884",
"CRMS0056","S","5/21/2014 12:00:00 AM","8","0.18","0.0321455",
"CRMS0056","S","5/21/2014 12:00:00 AM","12","0.43","0.1443376",
"CRMS0056","S","5/21/2014 12:00:00 AM","16","0.57","0.07937255",
"CRMS0056","S","5/21/2014 12:00:00 AM","20","0.8066667","0.04371625",
"CRMS0056","S","5/21/2014 12:00:00 AM","24","0.8433334","0.08743251",
"CRMS0056","S","7/29/2021 12:00:00 AM","4","0.07666667","0.02333333",
"CRMS0056","S","7/29/2021 12:00:00 AM","8","0.1466667","0.03480102",
"CRMS0056","S","7/29/2021 12:00:00 AM","12","0.1766667","0.02905933",
"CRMS0056","S","7/29/2021 12:00:00 AM","16","0.1633333","0.008819172",
"CRMS0056","S","7/29/2021 12:00:00 AM","20","0.4533333","0.1594086",
"CRMS0056","S","7/29/2021 12:00:00 AM","24","0.6866667","0.1329578",
"CRMS0058","S","6/24/2008 12:00:00 AM","16","0.09","0.01732051",
"CRMS0058","S","6/24/2014 12:00:00 AM","4","0.05","0",
"CRMS0058","S","6/24/2014 12:00:00 AM","8","0.07666667","0.008819172",
"CRMS0058","S","6/24/2014 12:00:00 AM","12","0.08333334","0.003333335",
"CRMS0058","S","6/24/2014 12:00:00 AM","16","0.08666667","0.003333335",
"CRMS0058","S","6/24/2014 12:00:00 AM","20","0.09333333","0.003333333",
"CRMS0058","S","6/24/2014 12:00:00 AM","24","0.1033333","0.008819169",
"CRMS0058","S","3/2/2023 12:00:00 AM","4","0.1066667","0.01763834",
"CRMS0058","S","3/2/2023 12:00:00 AM","8","0.1","0.005773501",
"CRMS0058","S","3/2/2023 12:00:00 AM","12","0.1233333","0.02962732",
"CRMS0058","S","3/2/2023 12:00:00 AM","16","0.1","0.01527525",
"CRMS0058","S","3/2/2023 12:00:00 AM","20","0.09666666","0.02333333",
"CRMS0058","S","3/2/2023 12:00:00 AM","24","0.1066667","0.02848001",
"CRMS0059","S","6/13/2008 12:00:00 AM","4","0.11","0.005773501",
"CRMS0059","S","6/13/2008 12:00:00 AM","8","0.18","0.02",
"CRMS0059","S","6/13/2008 12:00:00 AM","12","0.2066667","0.03179798",
"CRMS0059","S","6/13/2008 12:00:00 AM","16","0.29","0.01732051",
"CRMS0059","S","6/13/2008 12:00:00 AM","20","0.4166667","0.0120185",
"CRMS0059","S","6/13/2008 12:00:00 AM","24","0.5033333","0.008819163",
"CRMS0059","S","5/8/2014 12:00:00 AM","4","0.1433333","0.00666667",
"CRMS0059","S","5/8/2014 12:00:00 AM","8","0.18","0.02081666",
"CRMS0059","S","5/8/2014 12:00:00 AM","12","0.2566667","0.01201851",
"CRMS0059","S","5/8/2014 12:00:00 AM","16","0.35","0.04041452",
"CRMS0059","S","5/8/2014 12:00:00 AM","20","0.5233333","0.03527668",
"CRMS0059","S","5/8/2014 12:00:00 AM","24","0.6166667","0.05547774",
"CRMS0059","S","8/9/2021 12:00:00 AM","4","0.11","0.005773501",
"CRMS0059","S","8/9/2021 12:00:00 AM","8","0.1766667","0.003333335",
"CRMS0059","S","8/9/2021 12:00:00 AM","12","0.2266667","0.01452966",
"CRMS0059","S","8/9/2021 12:00:00 AM","16","0.2766667","0.00666666",
"CRMS0059","S","8/9/2021 12:00:00 AM","20","0.3133333","0.00333333",
"CRMS0059","S","8/9/2021 12:00:00 AM","24","0.4533333","0.02728451",
"CRMS0061","S","10/10/2008 12:00:00 AM","4","0.1933333","0.04333333",
"CRMS0061","S","10/10/2008 12:00:00 AM","8","0.35","0.0305505",
"CRMS0061","S","10/10/2008 12:00:00 AM","12","0.3433333","0.00666666",
"CRMS0061","S","10/10/2008 12:00:00 AM","16","0.4966667","0.04371626",
"CRMS0061","S","10/10/2008 12:00:00 AM","20","0.5466666","0.06437736",
"CRMS0061","S","10/10/2008 12:00:00 AM","24","0.5033333","0.02333334",
"CRMS0061","S","7/7/2014 12:00:00 AM","4","0.25","0.01527525",
"CRMS0061","S","7/7/2014 12:00:00 AM","8","0.3433333","0.03179797",
"CRMS0061","S","7/7/2014 12:00:00 AM","12","0.4266667","0.03527668",
"CRMS0061","S","7/7/2014 12:00:00 AM","16","0.51","0.02309402",
"CRMS0061","S","7/7/2014 12:00:00 AM","20","0.6766667","0.0669162",
"CRMS0061","S","7/7/2014 12:00:00 AM","24","0.4566667","0.00333334",
"CRMS0061","S","12/16/2021 12:00:00 AM","4","0.25","0.02081666",
"CRMS0061","S","12/16/2021 12:00:00 AM","8","0.2766667","0.01855922",
"CRMS0061","S","12/16/2021 12:00:00 AM","12","0.38","0.04041452",
"CRMS0061","S","12/16/2021 12:00:00 AM","16","0.4733333","0.024037",
"CRMS0061","S","12/16/2021 12:00:00 AM","20","0.5266666","0.03480101",
"CRMS0061","S","12/16/2021 12:00:00 AM","24","0.51","0.02645751",
"CRMS0063","S","6/2/2008 12:00:00 AM","4","0.08333334","0.01201851",
"CRMS0063","S","6/2/2008 12:00:00 AM","8","0.1166667","0.02603417",
"CRMS0063","S","6/2/2008 12:00:00 AM","12","0.1466667","0.02333333",
"CRMS0063","S","6/2/2008 12:00:00 AM","16","0.1633333","0.008819172",
"CRMS0063","S","6/2/2008 12:00:00 AM","20","0.1433333","0.003333335",
"CRMS0063","S","6/2/2008 12:00:00 AM","24","0.1333333","0.01763834",
"CRMS0063","S","5/23/2014 12:00:00 AM","4","0.07333334","0.008819172",
"CRMS0063","S","5/23/2014 12:00:00 AM","8","0.1133333","0.006666665",
"CRMS0063","S","5/23/2014 12:00:00 AM","12","0.14","0.011547",
"CRMS0063","S","5/23/2014 12:00:00 AM","16","0.1333333","0.003333335",
"CRMS0063","S","5/23/2014 12:00:00 AM","20","0.15","0.005773501",
"CRMS0063","S","5/23/2014 12:00:00 AM","24","0.1366667","0.00666667",
"CRMS0063","S","7/16/2021 12:00:00 AM","16","0.16","0.02081666",
"CRMS0065","S","2/4/2009 12:00:00 AM","16","0.12","0.01527525",
"CRMS0065","S","6/24/2014 12:00:00 AM","4","0.05","0.005773502",
"CRMS0065","S","6/24/2014 12:00:00 AM","8","0.06666666","0.003333334",
"CRMS0065","S","6/24/2014 12:00:00 AM","12","0.07","0.009999999",
"CRMS0065","S","6/24/2014 12:00:00 AM","16","0.1233333","0.02027587",
"CRMS0065","S","6/24/2014 12:00:00 AM","20","0.13","0.01",
"CRMS0065","S","6/24/2014 12:00:00 AM","24","0.12","0",
"CRMS0065","S","8/12/2021 12:00:00 AM","16","0.1266667","0.01763834",
"CRMS0086","S","6/25/2008 12:00:00 AM","4","0.32","0.05859465",
"CRMS0086","S","6/25/2008 12:00:00 AM","8","0.38","0.011547",
"CRMS0086","S","6/25/2008 12:00:00 AM","12","0.3666667","0.03844187",
"CRMS0086","S","6/25/2008 12:00:00 AM","16","0.4166667","0.02333334",
"CRMS0086","S","6/25/2008 12:00:00 AM","20","0.4066667","0.03179798",
"CRMS0086","S","6/25/2008 12:00:00 AM","24","0.3566667","0.02962731",
"CRMS0086","S","6/12/2014 12:00:00 AM","4","0.3166667","0.01666666",
"CRMS0086","S","6/12/2014 12:00:00 AM","8","0.4033333","0.02905932",
"CRMS0086","S","6/12/2014 12:00:00 AM","12","0.4833333","0.08212457",
"CRMS0086","S","6/12/2014 12:00:00 AM","16","0.4366666","0.04666666",
"CRMS0086","S","6/12/2014 12:00:00 AM","20","0.47","0.0550757",
"CRMS0086","S","6/12/2014 12:00:00 AM","24","0.4666667","0.03844188",
"CRMS0086","S","11/17/2021 12:00:00 AM","4","0.18","0.01527525",
"CRMS0086","S","11/17/2021 12:00:00 AM","8","0.3166667","0.02905932",
"CRMS0086","S","11/17/2021 12:00:00 AM","12","0.3866667","0.03756476",
"CRMS0086","S","11/17/2021 12:00:00 AM","16","0.5","0.06082764",
"CRMS0086","S","11/17/2021 12:00:00 AM","20","0.4933333","0.04176655",
"CRMS0086","S","11/17/2021 12:00:00 AM","24","0.41","0.005773497",
"CRMS0089","S","6/4/2008 12:00:00 AM","4","0.06","0",
"CRMS0089","S","6/4/2008 12:00:00 AM","8","0.075","0.004999999",
"CRMS0089","S","6/4/2008 12:00:00 AM","12","0.09","0.01",
"CRMS0089","S","6/4/2008 12:00:00 AM","16","0.1","0.011547",
"CRMS0089","S","6/4/2008 12:00:00 AM","20","0.145","0.055",
"CRMS0089","S","6/4/2008 12:00:00 AM","24","0.2","0.12",
"CRMS0089","S","6/24/2014 12:00:00 AM","16","0.16","0.02309401",
"CRMS0089","S","11/9/2021 12:00:00 AM","4","0.05333333","0.01452966",
"CRMS0089","S","11/9/2021 12:00:00 AM","8","0.08666667","0.003333335",
"CRMS0089","S","11/9/2021 12:00:00 AM","12","0.09333333","0.003333333",
"CRMS0089","S","11/9/2021 12:00:00 AM","16","0.09666667","0.003333333",
"CRMS0089","S","11/9/2021 12:00:00 AM","20","0.1","0",
"CRMS0089","S","11/9/2021 12:00:00 AM","24","0.09","0.005773504",
"CRMS0090","S","6/4/2008 12:00:00 AM","4","0.135","0.025",
"CRMS0090","S","6/4/2008 12:00:00 AM","8","0.225","0.055",
"CRMS0090","S","6/4/2008 12:00:00 AM","12","0.22","0.06999999",
